unique_quad,field_mission,sampling_site,site_blind_number,sampling_date,obs1,obs2,mud_google_percent,emerg_google_percent,other_google_percent,mud_planned_reps,emerg_planned_reps,other_planned_reps,mud_obs1_percent,emerg_obs1_percent,other_obs1_percent,mud_obs2_percent,emerg_obs2_percent,other_obs2_percent,mud_obsavg_percent,emerg_obsavg_percent,other_obsavg_percent,mud_actual_reps,emerg_actual_reps,other_actual_reps,sampling_start_time_cleaned,eval_obs,flowmeter_rotations,secchi_depth_cm,temp_C,salinity_brix,pH,nitrate_mg.L_NO3,nitrite_mg.L_NO2,phosphate_mg.L_PO4,oxygen_mg.L_o2,point_ID,lat,long,microhabitat_type,depth_cm_cleaned_agg,typha,phrag,cyperus,poa_grass,ludwigia,nymphaea,salvinia,ceratophyllum,potamogeton,pistia,azolla,ipomea,lemna,emergent_stems_cleaned,floating_veg_g_cleaned,number_scoops,field_count_bulinus,date_plated,snail_is_trunc_globo,molec_conf_truncatus,molec_conf_globosus,molec_conf_schisto_haem,molec_conf_schisto_bovis,molec_conf_hybrid,molec_conf_non_schisto,bulinus_mean_shell_height,site_FM_combo,include_in_which_analyses
01-Aug-17_Diokoul 1_4,5,Diokoul 1,24,1-Aug-17,AC,Raph,74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,10:11,Raphael,3,55,29,0,NA,2.6,0.02,0.03,NA,4,15.96473186,-15.96742757,mud,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Diokoul 1_FM_5,include_all
01-Aug-17_Diokoul 1_5,5,Diokoul 1,24,1-Aug-17,AC,Raph,74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,10:11,Raphael,3,55,29,0,NA,2.6,0.02,0.03,NA,5,15.96502712,-15.96725267,mud,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Diokoul 1_FM_5,include_all
01-Aug-17_Diokoul 1_6,5,Diokoul 1,24,1-Aug-17,AC,Raph,74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,10:11,Raphael,3,55,29,0,NA,2.6,0.02,0.03,NA,6,15.96497882,-15.96725529,mud,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Diokoul 1_FM_5,include_all
01-Aug-17_Diokoul 1_7,5,Diokoul 1,24,1-Aug-17,AC,Raph,74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,10:11,Raphael,3,55,29,0,NA,2.6,0.02,0.03,NA,7,15.96509517,-15.96714371,mud,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Diokoul 1_FM_5,include_all
01-Aug-17_Diokoul 1_8,5,Diokoul 1,24,1-Aug-17,AC,Raph,74,2,24,11,1,3,65,10,25,45,20,35,55,15,30,8,2,5,10:11,Raphael,3,55,29,0,NA,2.6,0.02,0.03,NA,8,15.96509739,-15.9671798,mud,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Diokoul 1_FM_5,include_all
01-Aug-17_Diokoul 2_11,5,Diokoul 2,25,1-Aug-17,AC,Raph,33,34,34,5,5,5,60,10,30,15,35,50,32.5,22.5,40,6,3,6,11:50,Raphael,2,46,32,0,7.75,2.4,0.02,0.24,NA,11,15.96629055,-15.96571677,emergent,43,1,0,0,0,0,0,0,0,1,0,0,0,0,2,900,3,12,2-Aug-17,12,0,0,0,0,0,0,4.095555556,Diokoul 2_FM_5,include_all
01-Aug-17_Diokoul 2_13,5,Diokoul 2,25,1-Aug-17,AC,Raph,33,34,34,5,5,5,60,10,30,15,35,50,32.5,22.5,40,6,3,6,11:50,Raphael,2,46,32,0,7.75,2.4,0.02,0.24,NA,13,15.9662461,-15.96569936,other,68,0,0,0,0,0,1,0,0,1,0,0,0,0,0,300,3,0,,0,0,0,0,0,0,0,NA,Diokoul 2_FM_5,include_all
01-Aug-17_Diokoul 2_15,5,Diokoul 2,25,1-Aug-17,AC,Raph,33,34,34,5,5,5,60,10,30,15,35,50,32.5,22.5,40,6,3,6,11:50,Raphael,2,46,32,0,7.75,2.4,0.02,0.24,NA,15,15.966227,-15.96581962,mud,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Diokoul 2_FM_5,include_all
01-Aug-17_Diokoul 2_17,5,Diokoul 2,25,1-Aug-17,AC,Raph,33,34,34,5,5,5,60,10,30,15,35,50,32.5,22.5,40,6,3,6,11:50,Raphael,2,46,32,0,7.75,2.4,0.02,0.24,NA,17,15.96627884,-15.96575516,other,28,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1300,3,0,,0,0,0,0,0,0,0,NA,Diokoul 2_FM_5,include_all
01-Aug-17_Diokoul 2_19,5,Diokoul 2,25,1-Aug-17,AC,Raph,33,34,34,5,5,5,60,10,30,15,35,50,32.5,22.5,40,6,3,6,11:50,Raphael,2,46,32,0,7.75,2.4,0.02,0.24,NA,19,15.9662291,-15.96575264,other,55,0,0,0,0,0,1,0,1,1,0,0,0,0,0,400,3,0,,0,0,0,0,0,0,0,NA,Diokoul 2_FM_5,include_all
01-Aug-17_Diokoul 2_23,5,Diokoul 2,25,1-Aug-17,AC,Raph,33,34,34,5,5,5,60,10,30,15,35,50,32.5,22.5,40,6,3,6,11:50,Raphael,2,46,32,0,7.75,2.4,0.02,0.24,NA,23,15.96622339,-15.96577007,mud,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Diokoul 2_FM_5,include_all
01-Aug-17_Diokoul 2_32,5,Diokoul 2,25,1-Aug-17,AC,Raph,33,34,34,5,5,5,60,10,30,15,35,50,32.5,22.5,40,6,3,6,11:50,Raphael,2,46,32,0,7.75,2.4,0.02,0.24,NA,32,15.96622003,-15.96579949,mud,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Diokoul 2_FM_5,include_all
01-Aug-17_Diokoul 2_38,5,Diokoul 2,25,1-Aug-17,AC,Raph,33,34,34,5,5,5,60,10,30,15,35,50,32.5,22.5,40,6,3,6,11:50,Raphael,2,46,32,0,7.75,2.4,0.02,0.24,NA,38,15.96625702,-15.96571839,emergent,54,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2000,3,3,2-Aug-17,3,0,0,0,0,0,0,5.726666667,Diokoul 2_FM_5,include_all
01-Aug-17_Diokoul 2_39,5,Diokoul 2,25,1-Aug-17,AC,Raph,33,34,34,5,5,5,60,10,30,15,35,50,32.5,22.5,40,6,3,6,11:50,Raphael,2,46,32,0,7.75,2.4,0.02,0.24,NA,39,15.96623333,-15.96578265,mud,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Diokoul 2_FM_5,include_all
01-Aug-17_Diokoul 2_4,5,Diokoul 2,25,1-Aug-17,AC,Raph,33,34,34,5,5,5,60,10,30,15,35,50,32.5,22.5,40,6,3,6,11:50,Raphael,2,46,32,0,7.75,2.4,0.02,0.24,NA,4,15.96631194,-15.96571981,emergent,22,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,5,2-Aug-17,5,0,0,0,0,0,0,5.255,Diokoul 2_FM_5,include_all
01-Aug-17_Diokoul 2_44,5,Diokoul 2,25,1-Aug-17,AC,Raph,33,34,34,5,5,5,60,10,30,15,35,50,32.5,22.5,40,6,3,6,11:50,Raphael,2,46,32,0,7.75,2.4,0.02,0.24,NA,44,15.96626094,-15.96573643,other,53,0,0,0,0,0,1,0,1,1,0,0,0,0,0,550,3,3,2-Aug-17,3,0,0,0,0,0,0,4.503333333,Diokoul 2_FM_5,include_all
01-Aug-17_Diokoul 2_46,5,Diokoul 2,25,1-Aug-17,AC,Raph,33,34,34,5,5,5,60,10,30,15,35,50,32.5,22.5,40,6,3,6,11:50,Raphael,2,46,32,0,7.75,2.4,0.02,0.24,NA,46,15.96624755,-15.96579651,mud,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Diokoul 2_FM_5,include_all
01-Aug-17_Diokoul 2_48,5,Diokoul 2,25,1-Aug-17,AC,Raph,33,34,34,5,5,5,60,10,30,15,35,50,32.5,22.5,40,6,3,6,11:50,Raphael,2,46,32,0,7.75,2.4,0.02,0.24,NA,48,15.96626342,-15.96575267,other,45,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1000,6,5,2-Aug-17,5,0,0,0,0,0,0,5.65,Diokoul 2_FM_5,include_all
01-Aug-17_Diokoul 2_53,5,Diokoul 2,25,1-Aug-17,AC,Raph,33,34,34,5,5,5,60,10,30,15,35,50,32.5,22.5,40,6,3,6,11:50,Raphael,2,46,32,0,7.75,2.4,0.02,0.24,NA,53,15.96622235,-15.96578853,mud,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Diokoul 2_FM_5,include_all
01-Aug-17_Diokoul 2_6,5,Diokoul 2,25,1-Aug-17,AC,Raph,33,34,34,5,5,5,60,10,30,15,35,50,32.5,22.5,40,6,3,6,11:50,Raphael,2,46,32,0,7.75,2.4,0.02,0.24,NA,6,15.96627348,-15.9657418,other,35,0,0,0,0,0,1,0,1,1,0,0,0,0,0,650,9,7,2-Aug-17,7,0,0,0,0,0,0,4.827142857,Diokoul 2_FM_5,include_all
02-Aug-17_Gankette_12,5,Gankette,26,2-Aug-17,AC,Raph,55,38,7,8,6,1,35,35,30,30,30,40,32.5,32.5,35,5,4,6,10:25,Raphael,3,41,30,0,7.3,3.1,0.02,0.02,NA,12,15.91128803,-15.94321905,mud,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Gankette_FM_5,exclude
02-Aug-17_Gankette_16,5,Gankette,26,2-Aug-17,AC,Raph,55,38,7,8,6,1,35,35,30,30,30,40,32.5,32.5,35,5,4,6,10:25,Raphael,3,41,30,0,7.3,3.1,0.02,0.02,NA,16,15.91147915,-15.94320495,other,40,0,0,0,0,0,1,0,1,0,0,0,0,1,0,150,3,0,3-Aug-17,0,0,0,0,0,0,0,NA,Gankette_FM_5,exclude
02-Aug-17_Gankette_18,5,Gankette,26,2-Aug-17,AC,Raph,55,38,7,8,6,1,35,35,30,30,30,40,32.5,32.5,35,5,4,6,10:25,Raphael,3,41,30,0,7.3,3.1,0.02,0.02,NA,18,15.91146547,-15.94322496,emergent,30,1,0,0,0,1,1,0,1,0,0,0,0,1,3,600,3,1,3-Aug-17,0,0,0,0,0,0,0,NA,Gankette_FM_5,exclude
02-Aug-17_Gankette_20,5,Gankette,26,2-Aug-17,AC,Raph,55,38,7,8,6,1,35,35,30,30,30,40,32.5,32.5,35,5,4,6,10:25,Raphael,3,41,30,0,7.3,3.1,0.02,0.02,NA,20,15.91145703,-15.94321088,mud,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Gankette_FM_5,exclude
02-Aug-17_Gankette_23,5,Gankette,26,2-Aug-17,AC,Raph,55,38,7,8,6,1,35,35,30,30,30,40,32.5,32.5,35,5,4,6,10:25,Raphael,3,41,30,0,7.3,3.1,0.02,0.02,NA,23,15.91133343,-15.9432978,mud,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,3-Aug-17,0,0,0,0,0,0,0,NA,Gankette_FM_5,exclude
02-Aug-17_Gankette_32,5,Gankette,26,2-Aug-17,AC,Raph,55,38,7,8,6,1,35,35,30,30,30,40,32.5,32.5,35,5,4,6,10:25,Raphael,3,41,30,0,7.3,3.1,0.02,0.02,NA,32,15.91136342,-15.94323856,mud,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Gankette_FM_5,exclude
02-Aug-17_Gankette_4,5,Gankette,26,2-Aug-17,AC,Raph,55,38,7,8,6,1,35,35,30,30,30,40,32.5,32.5,35,5,4,6,10:25,Raphael,3,41,30,0,7.3,3.1,0.02,0.02,NA,4,15.91132808,-15.94325617,other,5,0,0,0,1,1,0,0,0,0,1,0,0,0,0,50,3,0,,0,0,0,0,0,0,0,NA,Gankette_FM_5,exclude
02-Aug-17_Gankette_41,5,Gankette,26,2-Aug-17,AC,Raph,55,38,7,8,6,1,35,35,30,30,30,40,32.5,32.5,35,5,4,6,10:25,Raphael,3,41,30,0,7.3,3.1,0.02,0.02,NA,41,15.91145161,-15.9432363,emergent,40,1,0,0,0,1,0,0,1,0,0,0,0,0,2,400,3,1,3-Aug-17,0,0,0,0,0,0,0,NA,Gankette_FM_5,exclude
02-Aug-17_Gankette_45,5,Gankette,26,2-Aug-17,AC,Raph,55,38,7,8,6,1,35,35,30,30,30,40,32.5,32.5,35,5,4,6,10:25,Raphael,3,41,30,0,7.3,3.1,0.02,0.02,NA,45,15.91137857,-15.9432159,mud,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Gankette_FM_5,exclude
02-Aug-17_Gankette_46,5,Gankette,26,2-Aug-17,AC,Raph,55,38,7,8,6,1,35,35,30,30,30,40,32.5,32.5,35,5,4,6,10:25,Raphael,3,41,30,0,7.3,3.1,0.02,0.02,NA,46,15.9114715,-15.94318414,other,55,0,0,0,0,0,0,0,1,0,0,0,0,1,0,550,3,2,3-Aug-17,0,0,0,0,0,0,0,NA,Gankette_FM_5,exclude
02-Aug-17_Gankette_58,5,Gankette,26,2-Aug-17,AC,Raph,55,38,7,8,6,1,35,35,30,30,30,40,32.5,32.5,35,5,4,6,10:25,Raphael,3,41,30,0,7.3,3.1,0.02,0.02,NA,58,15.91150011,-15.94314462,emergent,51,1,0,0,0,1,0,0,1,0,0,0,0,1,1,650,3,2,3-Aug-17,0,0,0,0,0,0,0,NA,Gankette_FM_5,exclude
02-Aug-17_Gankette_6,5,Gankette,26,2-Aug-17,AC,Raph,55,38,7,8,6,1,35,35,30,30,30,40,32.5,32.5,35,5,4,6,10:25,Raphael,3,41,30,0,7.3,3.1,0.02,0.02,NA,6,15.91153352,-15.94320711,emergent,39,1,0,0,0,1,0,0,1,0,0,0,0,0,3,100,3,2,3-Aug-17,0,0,0,0,0,0,0,NA,Gankette_FM_5,exclude
02-Aug-17_Gankette_60,5,Gankette,26,2-Aug-17,AC,Raph,55,38,7,8,6,1,35,35,30,30,30,40,32.5,32.5,35,5,4,6,10:25,Raphael,3,41,30,0,7.3,3.1,0.02,0.02,NA,60,15.91152919,-15.94314337,other,60,0,0,0,0,1,0,0,1,0,0,0,0,0,0,550,3,1,3-Aug-17,0,0,0,0,0,0,0,NA,Gankette_FM_5,exclude
02-Aug-17_Gankette_7,5,Gankette,26,2-Aug-17,AC,Raph,55,38,7,8,6,1,35,35,30,30,30,40,32.5,32.5,35,5,4,6,10:25,Raphael,3,41,30,0,7.3,3.1,0.02,0.02,NA,7,15.91140764,-15.94320686,mud,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,3,0,,0,0,0,0,0,0,0,NA,Gankette_FM_5,exclude
02-Aug-17_Gankette_9,5,Gankette,26,2-Aug-17,AC,Raph,55,38,7,8,6,1,35,35,30,30,30,40,32.5,32.5,35,5,4,6,10:25,Raphael,3,41,30,0,7.3,3.1,0.02,0.02,NA,9,15.91131249,-15.94330397,other,8,0,0,0,1,1,0,0,0,0,0,1,0,0,0,10,3,3,3-Aug-17,0,0,0,0,0,0,0,NA,Gankette_FM_5,exclude
02-Aug-17_Malla_1,5,Malla,27,2-Aug-17,AC,Raph,47,35,18,7,5,3,85,10,5,50,45,5,67.5,27.5,5,10,4,1,13:21,Raphael,2,22,31,0,7,2.6,0.05,0.64,NA,1,16.14673144,-15.91887617,other,20,0,0,0,1,1,0,0,1,0,0,0,0,0,0,5,3,0,,0,0,0,0,0,0,0,NA,Malla_FM_5,exclude
02-Aug-17_Malla_11,5,Malla,27,2-Aug-17,AC,Raph,47,35,18,7,5,3,85,10,5,50,45,5,67.5,27.5,5,10,4,1,13:21,Raphael,2,22,31,0,7,2.6,0.05,0.64,NA,11,16.14670771,-15.91889049,mud,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Malla_FM_5,exclude
02-Aug-17_Malla_13,5,Malla,27,2-Aug-17,AC,Raph,47,35,18,7,5,3,85,10,5,50,45,5,67.5,27.5,5,10,4,1,13:21,Raphael,2,22,31,0,7,2.6,0.05,0.64,NA,13,16.14672844,-15.91885713,emergent,20,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,,0,0,0,0,0,0,0,NA,Malla_FM_5,exclude
02-Aug-17_Malla_14,5,Malla,27,2-Aug-17,AC,Raph,47,35,18,7,5,3,85,10,5,50,45,5,67.5,27.5,5,10,4,1,13:21,Raphael,2,22,31,0,7,2.6,0.05,0.64,NA,14,16.14667464,-15.91885121,mud,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Malla_FM_5,exclude
02-Aug-17_Malla_15,5,Malla,27,2-Aug-17,AC,Raph,47,35,18,7,5,3,85,10,5,50,45,5,67.5,27.5,5,10,4,1,13:21,Raphael,2,22,31,0,7,2.6,0.05,0.64,NA,15,16.1466693,-15.91886584,emergent,55,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,,0,0,0,0,0,0,0,NA,Malla_FM_5,exclude
02-Aug-17_Malla_16,5,Malla,27,2-Aug-17,AC,Raph,47,35,18,7,5,3,85,10,5,50,45,5,67.5,27.5,5,10,4,1,13:21,Raphael,2,22,31,0,7,2.6,0.05,0.64,NA,16,16.14667836,-15.91881658,mud,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Malla_FM_5,exclude
02-Aug-17_Malla_17,5,Malla,27,2-Aug-17,AC,Raph,47,35,18,7,5,3,85,10,5,50,45,5,67.5,27.5,5,10,4,1,13:21,Raphael,2,22,31,0,7,2.6,0.05,0.64,NA,17,16.14671344,-15.91887731,mud,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Malla_FM_5,exclude
02-Aug-17_Malla_18,5,Malla,27,2-Aug-17,AC,Raph,47,35,18,7,5,3,85,10,5,50,45,5,67.5,27.5,5,10,4,1,13:21,Raphael,2,22,31,0,7,2.6,0.05,0.64,NA,18,16.14669517,-15.91888055,mud,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Malla_FM_5,exclude
02-Aug-17_Malla_26,5,Malla,27,2-Aug-17,AC,Raph,47,35,18,7,5,3,85,10,5,50,45,5,67.5,27.5,5,10,4,1,13:21,Raphael,2,22,31,0,7,2.6,0.05,0.64,NA,26,16.14670994,-15.91890151,mud,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Malla_FM_5,exclude
02-Aug-17_Malla_31,5,Malla,27,2-Aug-17,AC,Raph,47,35,18,7,5,3,85,10,5,50,45,5,67.5,27.5,5,10,4,1,13:21,Raphael,2,22,31,0,7,2.6,0.05,0.64,NA,31,16.14666963,-15.91884773,mud,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Malla_FM_5,exclude
02-Aug-17_Malla_33,5,Malla,27,2-Aug-17,AC,Raph,47,35,18,7,5,3,85,10,5,50,45,5,67.5,27.5,5,10,4,1,13:21,Raphael,2,22,31,0,7,2.6,0.05,0.64,NA,33,16.14672662,-15.91890566,mud,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Malla_FM_5,exclude
02-Aug-17_Malla_36,5,Malla,27,2-Aug-17,AC,Raph,47,35,18,7,5,3,85,10,5,50,45,5,67.5,27.5,5,10,4,1,13:21,Raphael,2,22,31,0,7,2.6,0.05,0.64,NA,36,16.1466761,-15.9189117,emergent,15,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,,0,0,0,0,0,0,0,NA,Malla_FM_5,exclude
02-Aug-17_Malla_4,5,Malla,27,2-Aug-17,AC,Raph,47,35,18,7,5,3,85,10,5,50,45,5,67.5,27.5,5,10,4,1,13:21,Raphael,2,22,31,0,7,2.6,0.05,0.64,NA,4,16.14670755,-15.91879952,emergent,59,1,0,0,0,0,0,0,1,0,0,0,0,0,5,5,3,0,,0,0,0,0,0,0,0,NA,Malla_FM_5,exclude
02-Aug-17_Malla_6,5,Malla,27,2-Aug-17,AC,Raph,47,35,18,7,5,3,85,10,5,50,45,5,67.5,27.5,5,10,4,1,13:21,Raphael,2,22,31,0,7,2.6,0.05,0.64,NA,6,16.14666741,-15.91882056,mud,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Malla_FM_5,exclude
02-Aug-17_Malla_9,5,Malla,27,2-Aug-17,AC,Raph,47,35,18,7,5,3,85,10,5,50,45,5,67.5,27.5,5,10,4,1,13:21,Raphael,2,22,31,0,7,2.6,0.05,0.64,NA,9,16.14669286,-15.91889681,mud,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Malla_FM_5,exclude
03-Aug-17_Foss_1,5,Foss,30,3-Aug-17,AC,Izzy,64,36,0,10,5,0,70,15,15,75,10,15,72.5,12.5,15,10,3,2,13:50,Raphael,6,43,32,0,6.95,3.4,0.01,0.1,NA,1,16.15994217,-15.84624031,other,60,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100,3,0,,0,0,0,0,0,0,0,NA,Foss_FM_5,exclude
03-Aug-17_Foss_10,5,Foss,30,3-Aug-17,AC,Izzy,64,36,0,10,5,0,70,15,15,75,10,15,72.5,12.5,15,10,3,2,13:50,Raphael,6,43,32,0,6.95,3.4,0.01,0.1,NA,10,16.1598703,-15.84633139,mud,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,NA,Foss_FM_5,exclude
